2020-02-21 10:11:45,957 | INFO  | ender-2-thread-1 | RBACRestrictor                   | io.hawt.web.RBACRestrictor        110 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | Using MBean [org.apache.karaf:type=security,area=jmx,name=root] for role based access control
2020-02-21 10:11:46,076 | INFO  | ender-2-thread-1 | LoginServlet                     | io.hawt.web.LoginServlet           66 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | hawtio login is using 1800 sec. HttpSession timeout
2020-02-21 10:11:46,078 | INFO  | ender-2-thread-1 | ContextHandler                   | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | Started HttpServiceContext{httpContext=WebAppHttpContext{io.hawt.hawtio-web - 186}}
2020-02-21 10:12:01,119 | WARN  | Thread-2         | Main                             | f.main.Main$ShutdownSocketThread 1716 |  -  -  | Karaf shutdown socket:  Invalid command '' received
2020-02-21 10:46:33,511 | WARN  | Thread-2         | Main                             | f.main.Main$ShutdownSocketThread 1716 |  -  -  | Karaf shutdown socket:  Invalid command '' received
2020-02-21 10:46:33,880 | INFO  | e]-nio2-thread-1 | ServerSession                    | shd.server.session.ServerSession   55 | 59 - org.apache.sshd.core - 0.14.0 | Server session created from /127.0.0.1:36270
2020-02-21 10:46:34,489 | WARN  | 0.0.1:54822@5672 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:54822 failed: java.io.EOFException
2020-02-21 10:46:35,272 | WARN  | .0.1:49632@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:49632 failed: java.io.EOFException
2020-02-21 10:46:38,619 | WARN  | 0.0.1:46348@1883 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46348 failed: java.io.EOFException
2020-02-21 11:43:24,778 | INFO  | e]-nio2-thread-2 | ServerSession                    | shd.server.session.ServerSession   55 | 59 - org.apache.sshd.core - 0.14.0 | Server session created from /127.0.0.1:42616
2020-02-21 11:43:25,162 | INFO  | e]-nio2-thread-3 | ServerSession                    | shd.server.session.ServerSession   55 | 59 - org.apache.sshd.core - 0.14.0 | Server session created from /127.0.0.1:42618
2020-02-21 11:44:27,216 | INFO  | e]-nio2-thread-4 | ServerSession                    | shd.server.session.ServerSession   55 | 59 - org.apache.sshd.core - 0.14.0 | Server session created from /127.0.0.1:42750
2020-02-21 11:44:27,339 | INFO  | e]-nio2-thread-5 | ServerSession                    | shd.server.session.ServerSession   55 | 59 - org.apache.sshd.core - 0.14.0 | Server session created from /127.0.0.1:42752
2020-02-21 12:13:36,430 | INFO  | p1775667395-6643 | SessionExpiryFilter              | io.hawt.web.SessionExpiryFilter   131 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | Expiring session due to inactivity
2020-02-21 17:15:22,392 | INFO  | qtp1775667395-77 | SessionExpiryFilter              | io.hawt.web.SessionExpiryFilter   131 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | Expiring session due to inactivity
2020-02-21 17:15:22,392 | INFO  | p1775667395-6643 | SessionExpiryFilter              | io.hawt.web.SessionExpiryFilter   131 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | Expiring session due to inactivity
2020-02-21 17:15:22,392 | INFO  | 1775667395-42452 | SessionExpiryFilter              | io.hawt.web.SessionExpiryFilter   131 | 186 - io.hawt.hawtio-web - 1.4.0.redhat-630187 | Expiring session due to inactivity
2020-02-21 17:15:22,407 | WARN  | qtp1775667395-77 | ServletHandler                   | lipse.jetty.util.log.JavaUtilLog   71 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | /hawtio/jolokia/
java.lang.IllegalStateException
	at org.eclipse.jetty.server.session.AbstractSession.checkValid(AbstractSession.java:104)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.HashedSession.checkValid(HashedSession.java:79)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.AbstractSession.invalidate(AbstractSession.java:324)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at io.hawt.web.SessionExpiryFilter.process(SessionExpiryFilter.java:132)[186:io.hawt.hawtio-web:1.4.0.redhat-630187]
	at io.hawt.web.SessionExpiryFilter.doFilter(SessionExpiryFilter.java:46)[186:io.hawt.hawtio-web:1.4.0.redhat-630187]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1652)[105:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at io.hawt.web.RedirectFilter.process(RedirectFilter.java:73)[186:io.hawt.hawtio-web:1.4.0.redhat-630187]
	at io.hawt.web.RedirectFilter.doFilter(RedirectFilter.java:38)[186:io.hawt.hawtio-web:1.4.0.redhat-630187]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1652)[105:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:585)[105:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.ops4j.pax.web.service.jetty.internal.HttpServiceServletHandler.doHandle(HttpServiceServletHandler.java:71)[128:org.ops4j.pax.web.pax-web-jetty:4.3.0]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:143)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:577)[103:org.eclipse.jetty.security:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:223)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1127)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.ops4j.pax.web.service.jetty.internal.HttpServiceContext.doHandle(HttpServiceContext.java:287)[128:org.ops4j.pax.web.pax-web-jetty:4.3.0]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:515)[105:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1061)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.ops4j.pax.web.service.jetty.internal.JettyServerHandlerCollection.handle(JettyServerHandlerCollection.java:80)[128:org.ops4j.pax.web.pax-web-jetty:4.3.0]
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:97)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.Server.handle(Server.java:499)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:311)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:257)[104:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.io.AbstractConnection$2.run(AbstractConnection.java:544)[97:org.eclipse.jetty.io:9.2.19.v20160908]
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:635)[107:org.eclipse.jetty.util:9.2.19.v20160908]
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:555)[107:org.eclipse.jetty.util:9.2.19.v20160908]
	at java.lang.Thread.run(Thread.java:748)[:1.8.0_242]
2020-02-21 17:39:49,960 | WARN  | .0.1:46250@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46250 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46248@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46248 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46244@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46244 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46252@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46252 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46242@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46242 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46240@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46240 failed: java.io.EOFException
2020-02-21 17:39:49,960 | WARN  | .0.1:46246@61616 | Transport                        | ivemq.broker.TransportConnection  233 | 162 - org.apache.activemq.activemq-osgi - 5.11.0.redhat-630187 | Transport Connection to: tcp://127.0.0.1:46246 failed: java.io.EOFException
fev 24, 2020 10:18:36 AM org.apache.karaf.main.SimpleFileLock lock
INFORMAÇÕES: locking
2020-02-24 10:18:37,056 | INFO  | FelixStartLevel  | Activator                        | raf.service.guard.impl.Activator   47 | 62 - org.apache.karaf.service.guard - 2.4.0.redhat-630187 | Adding role-based security to services with filter: (&(osgi.command.scope=*)(osgi.command.function=*))
2020-02-24 10:18:37,229 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 8 - org.apache.felix.fileinstall - 3.5.0 | Updating configuration from io.fabric8.mq.fabric.server-broker.cfg
2020-02-24 10:18:38,081 | INFO  | FelixStartLevel  | BlueprintExtender                | rint.container.BlueprintExtender  160 | 21 - org.apache.aries.blueprint.core - 1.4.5 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2020-02-24 10:18:38,527 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.jaas into service ACL configs [org.apache.karaf.service.acl.command.jaas.realms, org.apache.karaf.service.acl.command.jaas.cancel, org.apache.karaf.service.acl.command.jaas.useradd, org.apache.karaf.service.acl.command.jaas.grouproleadd, org.apache.karaf.service.acl.command.jaas.manage, org.apache.karaf.service.acl.command.jaas.roleadd, org.apache.karaf.service.acl.command.jaas.userdel, org.apache.karaf.service.acl.command.jaas.users, org.apache.karaf.service.acl.command.jaas.pending, org.apache.karaf.service.acl.command.jaas.roledel, org.apache.karaf.service.acl.command.jaas.groupadd, org.apache.karaf.service.acl.command.jaas.update, org.apache.karaf.service.acl.command.jaas.grouproledel, org.apache.karaf.service.acl.command.jaas.groupdel]
2020-02-24 10:18:38,537 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.osgi into service ACL configs [org.apache.karaf.service.acl.command.osgi.update, org.apache.karaf.service.acl.command.osgi.list, org.apache.karaf.service.acl.command.osgi.bundle-level, org.apache.karaf.service.acl.command.osgi.install, org.apache.karaf.service.acl.command.osgi.stop, org.apache.karaf.service.acl.command.osgi.shutdown, org.apache.karaf.service.acl.command.osgi.start-level, org.apache.karaf.service.acl.command.osgi.classes, org.apache.karaf.service.acl.command.osgi.id, org.apache.karaf.service.acl.command.osgi.restart, org.apache.karaf.service.acl.command.osgi.bundle-services, org.apache.karaf.service.acl.command.osgi.info, org.apache.karaf.service.acl.command.osgi.headers, org.apache.karaf.service.acl.command.osgi.name, org.apache.karaf.service.acl.command.osgi.refresh, org.apache.karaf.service.acl.command.osgi.version, org.apache.karaf.service.acl.command.osgi.find-class, org.apache.karaf.service.acl.command.osgi.watch, org.apache.karaf.service.acl.command.osgi.start, org.apache.karaf.service.acl.command.osgi.ls, org.apache.karaf.service.acl.command.osgi.uninstall]
2020-02-24 10:18:38,549 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.config into service ACL configs [org.apache.karaf.service.acl.command.config.proplist, org.apache.karaf.service.acl.command.config.edit, org.apache.karaf.service.acl.command.config.propappend, org.apache.karaf.service.acl.command.config.propdel, org.apache.karaf.service.acl.command.config.update, org.apache.karaf.service.acl.command.config.cancel, org.apache.karaf.service.acl.command.config.list, org.apache.karaf.service.acl.command.config.propset, org.apache.karaf.service.acl.command.config.delete]
2020-02-24 10:18:38,553 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.features into service ACL configs [org.apache.karaf.service.acl.command.features.listRepositories, org.apache.karaf.service.acl.command.features.listVersions, org.apache.karaf.service.acl.command.features.removeRepository, org.apache.karaf.service.acl.command.features.install, org.apache.karaf.service.acl.command.features.listUrl, org.apache.karaf.service.acl.command.features.refreshUrl, org.apache.karaf.service.acl.command.features.info, org.apache.karaf.service.acl.command.features.list, org.apache.karaf.service.acl.command.features.chooseurl, org.apache.karaf.service.acl.command.features.uninstall, org.apache.karaf.service.acl.command.features.addUrl, org.apache.karaf.service.acl.command.features.removeUrl]
2020-02-24 10:18:38,559 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.shell into service ACL configs [org.apache.karaf.service.acl.command.shell.history, org.apache.karaf.service.acl.command.shell.printf, org.apache.karaf.service.acl.command.shell.head, org.apache.karaf.service.acl.command.shell.wc, org.apache.karaf.service.acl.command.shell.java, org.apache.karaf.service.acl.command.shell.source, org.apache.karaf.service.acl.command.shell.sleep, org.apache.karaf.service.acl.command.shell.exec, org.apache.karaf.service.acl.command.shell.alias, org.apache.karaf.service.acl.command.shell.date, org.apache.karaf.service.acl.command.shell.logout, org.apache.karaf.service.acl.command.shell.if, org.apache.karaf.service.acl.command.shell.edit, org.apache.karaf.service.acl.command.shell.new, org.apache.karaf.service.acl.command.shell.more, org.apache.karaf.service.acl.command.shell.clear, org.apache.karaf.service.acl.command.shell.grep, org.apache.karaf.service.acl.command.shell.tail, org.apache.karaf.service.acl.command.shell.echo, org.apache.karaf.service.acl.command.shell.sort, org.apache.karaf.service.acl.command.shell.each, org.apache.karaf.service.acl.command.shell.cat, org.apache.karaf.service.acl.command.shell.tac, org.apache.karaf.service.acl.command.shell.watch]
2020-02-24 10:18:38,571 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.dev into service ACL configs [org.apache.karaf.service.acl.command.dev.dynamic-import, org.apache.karaf.service.acl.command.dev.framework, org.apache.karaf.service.acl.command.dev.show-tree, org.apache.karaf.service.acl.command.dev.restart, org.apache.karaf.service.acl.command.dev.create-dump, org.apache.karaf.service.acl.command.dev.watch, org.apache.karaf.service.acl.command.dev.load-test, org.apache.karaf.service.acl.command.dev.system-property, org.apache.karaf.service.acl.command.dev.print-stack-traces, org.apache.karaf.service.acl.command.dev.threads, org.apache.karaf.service.acl.command.dev.wait-for-service]
2020-02-24 10:18:38,577 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.scope_bundle into service ACL configs [org.apache.karaf.service.acl.command.scope_bundle.packages, org.apache.karaf.service.acl.command.scope_bundle.shell, org.apache.karaf.service.acl.command.scope_bundle.admin, org.apache.karaf.service.acl.command.scope_bundle.ssh, org.apache.karaf.service.acl.command.scope_bundle.camel, org.apache.karaf.service.acl.command.scope_bundle.osgi, org.apache.karaf.service.acl.command.scope_bundle.config, org.apache.karaf.service.acl.command.scope_bundle.jaas, org.apache.karaf.service.acl.command.scope_bundle.activemq, org.apache.karaf.service.acl.command.scope_bundle.features, org.apache.karaf.service.acl.command.scope_bundle.log, org.apache.karaf.service.acl.command.scope_bundle.dev]
2020-02-24 10:18:38,584 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.camel into service ACL configs [org.apache.karaf.service.acl.command.camel.backlog-tracer-dump, org.apache.karaf.service.acl.command.camel.route-info, org.apache.karaf.service.acl.command.camel.context-list, org.apache.karaf.service.acl.command.camel.backlog-tracer-stop, org.apache.karaf.service.acl.command.camel.backlog-tracer-info, org.apache.karaf.service.acl.command.camel.context-start, org.apache.karaf.service.acl.command.camel.route-start, org.apache.karaf.service.acl.command.camel.route-stop, org.apache.karaf.service.acl.command.camel.context-stop, org.apache.karaf.service.acl.command.camel.route-show, org.apache.karaf.service.acl.command.camel.route-suspend, org.apache.karaf.service.acl.command.camel.backlog-tracer-start, org.apache.karaf.service.acl.command.camel.route-list, org.apache.karaf.service.acl.command.camel.route-profile, org.apache.karaf.service.acl.command.camel.context-info, org.apache.karaf.service.acl.command.camel.endpoint-list, org.apache.karaf.service.acl.command.camel.route-resume, org.apache.karaf.service.acl.command.camel.route-reset-stats]
2020-02-24 10:18:38,592 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.packages into service ACL configs [org.apache.karaf.service.acl.command.packages.exports, org.apache.karaf.service.acl.command.packages.imports]
2020-02-24 10:18:38,593 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.esb into service ACL configs [org.apache.karaf.service.acl.command.esb.create-admin-user, org.apache.karaf.service.acl.command.esb.check-for-user]
2020-02-24 10:18:38,595 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.scr into service ACL configs [org.apache.karaf.service.acl.command.scr.activate, org.apache.karaf.service.acl.command.scr.details, org.apache.karaf.service.acl.command.scr.deactivate, org.apache.karaf.service.acl.command.scr.list]
2020-02-24 10:18:38,598 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.activemq into service ACL configs [org.apache.karaf.service.acl.command.activemq.query, org.apache.karaf.service.acl.command.activemq.purge, org.apache.karaf.service.acl.command.activemq.bstat, org.apache.karaf.service.acl.command.activemq.dstat, org.apache.karaf.service.acl.command.activemq.browse, org.apache.karaf.service.acl.command.activemq.list]
2020-02-24 10:18:38,601 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.fabric into service ACL configs [org.apache.karaf.service.acl.command.fabric.crypt-algorithm-set, org.apache.karaf.service.acl.command.fabric.profile-rename, org.apache.karaf.service.acl.command.fabric.container-info, org.apache.karaf.service.acl.command.fabric.profile-copy, org.apache.karaf.service.acl.command.fabric.profile-scale, org.apache.karaf.service.acl.command.fabric.container-connect, org.apache.karaf.service.acl.command.fabric.container-delete, org.apache.karaf.service.acl.command.fabric.require-profile-list, org.apache.karaf.service.acl.command.fabric.crypt-algorithm-get, org.apache.karaf.service.acl.command.fabric.ensemble-list, org.apache.karaf.service.acl.command.fabric.container-default-jvm-options, org.apache.karaf.service.acl.command.fabric.import, org.apache.karaf.service.acl.command.fabric.cluster-list, org.apache.karaf.service.acl.command.fabric.version-create, org.apache.karaf.service.acl.command.fabric.profile-refresh, org.apache.karaf.service.acl.command.fabric.version-set-default, org.apache.karaf.service.acl.command.fabric.version-list, org.apache.karaf.service.acl.command.fabric.container-list, org.apache.karaf.service.acl.command.fabric.join, org.apache.karaf.service.acl.command.fabric.ensemble-remove, org.apache.karaf.service.acl.command.fabric.status, org.apache.karaf.service.acl.command.fabric.container-resolver-set, org.apache.karaf.service.acl.command.fabric.container-remove-profile, org.apache.karaf.service.acl.command.fabric.container-jmx-domains, org.apache.karaf.service.acl.command.fabric.mq-create, org.apache.karaf.service.acl.command.fabric.container-create-child, org.apache.karaf.service.acl.command.fabric.profile-display, org.apache.karaf.service.acl.command.fabric.require-profile-set, org.apache.karaf.service.acl.command.fabric.encrypt-message, org.apache.karaf.service.acl.command.fabric.create, org.apache.karaf.service.acl.command.fabric.profile-delete, org.apache.karaf.service.acl.command.fabric.fabric, org.apache.karaf.service.acl.command.fabric.profile-list, org.apache.karaf.service.acl.command.fabric.wait-for-provisioning, org.apache.karaf.service.acl.command.fabric.ensemble-add, org.apache.karaf.service.acl.command.fabric.container-add-profile, org.apache.karaf.service.acl.command.fabric.container-stop, org.apache.karaf.service.acl.command.fabric.container-upgrade, org.apache.karaf.service.acl.command.fabric.profile-change-parents, org.apache.karaf.service.acl.command.fabric.profile-create, org.apache.karaf.service.acl.command.fabric.patch-apply, org.apache.karaf.service.acl.command.fabric.require-profile-delete, org.apache.karaf.service.acl.command.fabric.container-change-profile, org.apache.karaf.service.acl.command.fabric.crypt-password-get, org.apache.karaf.service.acl.command.fabric.profile-edit, org.apache.karaf.service.acl.command.fabric.export, org.apache.karaf.service.acl.command.fabric.crypt-password-set, org.apache.karaf.service.acl.command.fabric.ensemble-password, org.apache.karaf.service.acl.command.fabric.container-rollback, org.apache.karaf.service.acl.command.fabric.container-start, org.apache.karaf.service.acl.command.fabric.version-delete]
2020-02-24 10:18:38,620 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.jasypt into service ACL configs [org.apache.karaf.service.acl.command.jasypt.encrypt]
2020-02-24 10:18:38,622 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.cxf into service ACL configs [org.apache.karaf.service.acl.command.cxf.list-endpoints, org.apache.karaf.service.acl.command.cxf.start-endpoint, org.apache.karaf.service.acl.command.cxf.list-busses, org.apache.karaf.service.acl.command.cxf.stop-endpoint]
2020-02-24 10:18:38,624 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.patch into service ACL configs [org.apache.karaf.service.acl.command.patch.add, org.apache.karaf.service.acl.command.patch.list, org.apache.karaf.service.acl.command.patch.simulate, org.apache.karaf.service.acl.command.patch.install, org.apache.karaf.service.acl.command.patch.rollback]
2020-02-24 10:18:38,627 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.admin into service ACL configs [org.apache.karaf.service.acl.command.admin.change-ssh-port, org.apache.karaf.service.acl.command.admin.destroy, org.apache.karaf.service.acl.command.admin.create, org.apache.karaf.service.acl.command.admin.list, org.apache.karaf.service.acl.command.admin.change-rmi-registry-port, org.apache.karaf.service.acl.command.admin.stop, org.apache.karaf.service.acl.command.admin.start, org.apache.karaf.service.acl.command.admin.connect, org.apache.karaf.service.acl.command.admin.status, org.apache.karaf.service.acl.command.admin.clone, org.apache.karaf.service.acl.command.admin.change-rmi-server-port, org.apache.karaf.service.acl.command.admin.change-opts, org.apache.karaf.service.acl.command.admin.rename]
2020-02-24 10:18:38,632 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.log into service ACL configs [org.apache.karaf.service.acl.command.log.clear, org.apache.karaf.service.acl.command.log.set, org.apache.karaf.service.acl.command.log.display, org.apache.karaf.service.acl.command.log.tail, org.apache.karaf.service.acl.command.log.list, org.apache.karaf.service.acl.command.log.display-exception, org.apache.karaf.service.acl.command.log.get]
2020-02-24 10:18:38,635 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.ssh into service ACL configs [org.apache.karaf.service.acl.command.ssh.ssh, org.apache.karaf.service.acl.command.ssh.sshd]
2020-02-24 10:18:38,637 | INFO  | FelixStartLevel  | SecuredCommandConfigTransformer  | .SecuredCommandConfigTransformer  115 | 24 - org.apache.karaf.shell.console - 2.4.0.redhat-630187 | Generating command ACL config org.apache.karaf.command.acl.fab into service ACL configs [org.apache.karaf.service.acl.command.fab.info, org.apache.karaf.service.acl.command.fab.stop, org.apache.karaf.service.acl.command.fab.uninstall, org.apache.karaf.service.acl.command.fab.start, org.apache.karaf.service.acl.command.fab.tree, org.apache.karaf.service.acl.command.fab.headers]
2020-02-24 10:18:39,085 | INFO  | FelixStartLevel  | Activator                        | x.web.service.internal.Activator  152 | 127 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | EventAdmin support enabled, servlet events will be postet to topics.
2020-02-24 10:18:39,087 | INFO  | FelixStartLevel  | Activator                        | x.web.service.internal.Activator  168 | 127 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | LogService support enabled, log events will be created.
2020-02-24 10:18:39,089 | INFO  | FelixStartLevel  | Activator                        | x.web.service.internal.Activator  185 | 127 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Pax Web started
2020-02-24 10:18:39,149 | INFO  | onfig-1-thread-1 | log                              | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | Logging initialized @44130ms
2020-02-24 10:18:39,188 | INFO  | FelixStartLevel  | ContextLoaderListener            | .activator.ContextLoaderListener  354 | 153 - org.springframework.osgi.extender - 1.2.1 | Starting [org.springframework.osgi.extender] bundle v.[1.2.1]
2020-02-24 10:18:39,325 | INFO  | onfig-1-thread-1 | JettyFactoryImpl                 | .jetty.internal.JettyFactoryImpl  164 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | SPDY not available, creating standard ServerConnector for Http
